"deviceVendor","deviceProduct","deviceHostName","deviceAddress","_count"
"Fortinet","Fortigate","OBT-DcFw3","","792425"
"Palo Alto Networks","PAN-OS","DC-INT-FW2","","637923"
"Fortinet","Fortigate","OBT-DR-DcFw","","374771"
"Palo Alto Networks","PAN-OS","DRC-INT-FW1","","163081"
"Fortinet","Fortigate","OBT-DR-DcFw","10.224.147.1","39327"
"Microsoft","Microsoft Windows","OBTVM-DC2.odeabank.com.tr","10.224.3.17","15726"
"Forcepoint","Security","","10.224.105.41","12811"
"Microsoft","Microsoft Windows","OBT-DC1.odeabank.com.tr","10.224.3.16","12276"
"Forcepoint","Security","","10.224.105.43","12132"
"Fortinet","FortiGate-300C","FG300C3913600183","","10885"
"Fortinet","Fortigate","FG300C3913600183","","10500"
"F5","ASM","OBT-F5-Int3.odeabank.com.tr","10.224.5.51","10446"
"Forcepoint","Security","","10.224.105.42","7906"
"Microsoft","Microsoft Windows","OBTVM-DC1.odeabank.com.tr","10.224.3.71","7511"
"Unix","auditd","exa1dbadm01","","5676"
"F5","ASM","OBT-F5-Ext1.odeabank.com.tr","10.224.12.202","5647"
"Fortinet","FortiGate-1000C","OLIVE-ODB-FW1","","1980"
"Fortinet","FortiWiFi-60CX-ADSL-A","NETSEC-60CX-FW","","1519"
"Pulse Secure","Pulse Connect Secure","OBT-Pulse1","","988"
"Fortinet","Fortigate","FW-3P-HA1","","903"
"Fortinet","FortiGate-300C","FW-3P-HA1","","840"
"ArcSight","Logger","","127.0.0.1","225"
"Forcepoint","Email Security","v10k1-esg","10.224.17.15","188"
"Forcepoint","Email Security","v10k2-esg","10.224.17.16","171"
"ArcSight","Logger","","10.224.104.21","85"
"Palo Alto Networks","PAN-OS","Panorama","","51"
"Fortinet","FortiGate-300C","FW-3P-HA2","","11"

"CISCO","CiscoRouter","","10.225.30.250","10"
"CISCO","CiscoRouter","","10.225.9.250","10"

"Unix","Unix","obtvm-grdagg1","","10"

"F5","ASM","DRC-INT-F5.odeabank.com.tr","10.224.131.11","9"
"Infoblox","NIOS Threat","drdmzns03.odeabank.com.tr","10.224.163.51","8"
"Microsoft","Microsoft Windows","CW9019-0093.odeabank.com.tr","10.225.237.46","8"
"Microsoft","Microsoft Windows","DSBA2230-02.odeabank.com.tr","10.225.35.90","8"
"Microsoft","Microsoft Windows","DSDS1020-01.odeabank.com.tr","10.225.36.236","8"
"Microsoft","Microsoft Windows","DSTE2050-01.odeabank.com.tr","10.225.9.225","8"
"Microsoft","Microsoft Windows","DSVD1010-01.odeabank.com.tr","10.225.1.228","8"
"Microsoft","Microsoft Windows","DSVP2180-01.odeabank.com.tr","10.225.33.101","8"
"Microsoft","Microsoft Windows","DSVP2220-01.odeabank.com.tr","10.225.34.226","8"
"Microsoft","Microsoft Windows","DSZD2020-01.odeabank.com.tr","10.225.8.225","8"
"Microsoft","Microsoft Windows","Floorpc-3501.odeabank.com.tr","10.225.184.23","8"
"Microsoft","Microsoft Windows","L199-MR3603.odeabank.com.tr","10.225.208.251","8"
